Name,MatrixSize,MaxRow,MinTime,MaxTime,AvgTime,TotalRun,nProcess,NonZeroPerRow,NonZeroPerBlock,AvgCommunication,AvgInterProcessCall,SizeOfData,DiagonalElem,OffDiagonalElem,Bandwidth,InDiagonalBandwidth
input/kkt,2063494,2361,     0.149,     0.176,     0.167,100,900,     7.000,18301,    29.372,    41.922,8,12818,2513,1904121,1891
input/ecology1,1000000,1144,     0.061,     0.121,     0.116,100,900,     4.000,4576,    24.187,     5.742,8,4244,95,775958,121
input/uk-2002,18520486,21196,    16.626,    16.730,    16.680,100,900,   145.000,3094329,    30.796,   531.273,8,640400,15428,18519352,21192
input/asia,11950757,13677,     0.522,     0.535,     0.531,100,900,     2.000,38008,     3.633,     4.213,8,28136,7,8552114,13657
input/NLR,4163763,4764,     0.384,     0.396,     0.392,100,900,     6.000,28591,    48.028,     5.713,8,26562,620,3548033,4751
input/coPapersDBLP,540486,618,     0.779,     0.829,     0.805,100,900,   319.000,197276,     7.672,   238.727,8,33218,4897,540080,618
input/coPapersCiteseer,434102,496,     1.320,     1.356,     1.340,100,900,   853.000,423482,     8.370,   100.522,8,21248,2018,433734,496
input/copter2,55476,63,     0.009,     0.027,     0.020,100,900,    14.000,911,     8.000,    12.591,8,554,280,54604,63
input/333SP,3712815,4247,     0.305,     0.323,     0.317,100,900,     6.000,25482,    47.284,     4.860,8,24216,278,2391718,4232
input/af,1508065,1725,     0.361,     0.373,     0.369,100,900,    34.000,58650,    68.970,     5.727,8,52002,3554,1157873,390
input/AS365,3799275,4348,     0.300,     0.313,     0.309,100,900,     6.000,26090,    44.203,     5.600,8,25326,494,2722971,4348
input/europe,50912018,58247,     3.312,     3.330,     3.324,100,900,     2.000,162208,     9.142,     5.404,8,120738,50,36890207,57665
input/M6,3501776,4007,     0.334,     0.354,     0.349,100,900,     6.000,24037,    43.992,     5.689,8,22578,216,1983836,3998
input/nlpkkt200,16240000,18586,     4.180,     4.214,     4.201,100,900,    27.000,501822,   599.327,    12.627,8,418272,25719,12563884,1637
input/thermal2,1227087,1404,     0.112,     0.126,     0.121,100,900,     6.000,8429,    25.764,     5.653,8,7946,296,560320,1399
input/nlpkkt160,8345600,530537,    15.909,    18.443,    17.499,100,16,    26.000,14174922,  7383.000,     6.500,8,13484074,246564,5742760,13437
input/nlpkkt240,27993600,1765094,    56.003,    62.683,    59.372,100,16,    26.000,47330136, 16518.375,     6.375,8,45841018,617424,27323399,30717
input/cage15,5154859,331860,     6.888,    12.306,     8.616,100,16,    25.000,8443280, 16204.000,    11.500,8,4295422,236004,4938584,304332
input/nlpkkt160,8345600,343313,    10.477,    12.586,    11.505,100,25,    27.000,9130320,  5426.640,     7.520,8,8483222,150056,5933169,9224
input/nlpkkt240,27993600,1133205,    35.432,    42.837,    39.154,100,25,    26.000,30465882, 12258.200,     7.360,8,29537220,619584,24634107,25541
