Name,MatrixSize,MaxRow,MinTime,MaxTime,AvgTime,TotalRun,nProcess,NonZeroPerRow,NonZeroPerBlock,AvgCommunication,AvgInterProcessCall,SizeOfData,DiagonalElem,OffDiagonalElem,Bandwidth,InDiagonalBandwidth
input/cage15,5154859,41482,     9.565,     9.586,     9.576,100,128,    34.000,1435555,  1357.195,    37.312,8,602278,67195,5110871,41066
input/nlpkkt240,27993600,225271,    11.568,    11.577,    11.573,100,128,    27.000,6082317,  3256.828,    10.750,8,5714858,222010,24435823,7922
input/G3,1585478,12697,     0.343,     0.345,     0.344,100,128,     3.000,49345,   124.484,     5.094,8,47322,616,1237803,10539
input/kkt,2063494,16605,     1.617,     1.624,     1.622,100,128,     6.000,114851,   196.688,    18.516,8,93508,6820,1950323,12959
input/ecology1,1000000,7850,     0.211,     0.214,     0.212,100,128,     4.000,31400,    70.234,     5.312,8,30846,414,734402,281
input/uk-2002,18520486,149039,    15.038,    15.069,    15.053,100,128,    66.000,9545229,   273.852,   124.031,8,9520000,25229,18519040,148946
input/asia,11950757,95360,     0.496,     0.498,     0.497,100,128,     2.000,240251,     4.141,     4.156,8,189120,12,11014530,93705
input/NLR,4163763,33402,     0.750,     0.752,     0.751,100,128,     6.000,200418,   127.773,     5.406,8,193582,1488,3383592,33394
input/coPapersDBLP,540486,4349,     5.043,     5.051,     5.046,100,128,   128.000,543489,    85.578,   126.875,8,188288,28750,540472,4346
input/coPapersCiteseer,434102,3493,     3.143,     3.149,     3.147,100,128,   260.000,908341,    36.453,   122.328,8,262434,28816,433661,3490
input/nlpkkt160,8345600,67159,     4.633,     4.642,     4.638,100,128,    27.000,1813293,  1503.312,    10.469,8,1589682,73572,7500388,3758
input/kkt,2063494,16605,     1.653,     1.661,     1.658,100,128,     6.000,114851,   196.688,    18.516,8,93508,6820,1950323,12959
input/cage15,5154859,41482,     9.503,     9.523,     9.513,100,128,    34.000,1435555,  1357.195,    37.312,8,602278,67195,5110871,41066
input/ecology1,1000000,7850,     0.210,     0.212,     0.211,100,128,     4.000,31400,    70.234,     5.312,8,30846,414,734402,281
input/G3,1585478,12697,     0.332,     0.335,     0.334,100,128,     3.000,49345,   124.484,     5.094,8,47322,616,1237803,10539
input/nlpkkt240,27993600,225271,    11.560,    11.568,    11.564,100,128,    27.000,6082317,  3256.828,    10.750,8,5714858,222010,24435823,7922
input/asia,11950757,95360,     0.492,     0.494,     0.493,100,128,     2.000,240251,     4.141,     4.156,8,189120,12,11014530,93705
input/NLR,4163763,33402,     0.750,     0.753,     0.752,100,128,     6.000,200418,   127.773,     5.406,8,193582,1488,3383592,33394
input/uk-2002,18520486,149039,    15.103,    15.133,    15.117,100,128,    66.000,9545229,   273.852,   124.031,8,9520000,25229,18519040,148946
input/coPapersDBLP,540486,4349,     5.023,     5.032,     5.028,100,128,   128.000,543489,    85.578,   126.875,8,188288,28750,540472,4346
input/coPapersCiteseer,434102,3493,     3.103,     3.109,     3.106,100,128,   260.000,908341,    36.453,   122.328,8,262434,28816,433661,3490
input/cage15,5154859,41482,     9.499,     9.520,     9.511,100,128,    34.000,1435555,  1357.195,    37.312,8,602278,67195,5110871,41066
input/nlpkkt160,8345600,67159,     4.630,     4.637,     4.634,100,128,    27.000,1813293,  1503.312,    10.469,8,1589682,73572,7500388,3758
input/nlpkkt240,27993600,225271,    13.495,    13.504,    13.500,100,128,    27.000,6082317,  3256.828,    10.750,8,5714858,222010,24435823,7922
input/ecology1,1000000,7850,     0.283,     0.286,     0.285,100,128,     4.000,31400,    70.234,     5.312,8,30846,414,734402,281
input/G3,1585478,12697,     0.356,     0.358,     0.357,100,128,     3.000,49345,   124.484,     5.094,8,47322,616,1237803,10539
input/kkt,2063494,16605,     1.607,     1.614,     1.612,100,128,     6.000,114851,   196.688,    18.516,8,93508,6820,1950323,12959
input/asia,11950757,95360,     0.497,     0.502,     0.500,100,128,     2.000,240251,     4.141,     4.156,8,189120,12,11014530,93705
input/uk-2002,18520486,149039,    15.081,    15.109,    15.094,100,128,    66.000,9545229,   273.852,   124.031,8,9520000,25229,18519040,148946
input/coPapersDBLP,540486,4349,     5.056,     5.066,     5.061,100,128,   128.000,543489,    85.578,   126.875,8,188288,28750,540472,4346
input/coPapersCiteseer,434102,3493,     3.113,     3.119,     3.117,100,128,   260.000,908341,    36.453,   122.328,8,262434,28816,433661,3490
input/NLR,4163763,33402,     0.731,     0.733,     0.732,100,128,     6.000,200418,   127.773,     5.406,8,193582,1488,3383592,33394
input/nlpkkt160,8345600,67159,     4.598,     4.607,     4.603,100,128,    27.000,1813293,  1503.312,    10.469,8,1589682,73572,7500388,3758
input/nlpkkt240,27993600,225271,    11.571,    11.581,    11.576,100,128,    27.000,6082317,  3256.828,    10.750,8,5714858,222010,24435823,7922
input/kkt,2063494,16605,     1.609,     1.616,     1.614,100,128,     6.000,114851,   196.688,    18.516,8,93508,6820,1950323,12959
input/ecology1,1000000,7850,     0.212,     0.213,     0.212,100,128,     4.000,31400,    70.234,     5.312,8,30846,414,734402,281
input/cage15,5154859,41482,     9.533,     9.555,     9.545,100,128,    34.000,1435555,  1357.195,    37.312,8,602278,67195,5110871,41066
input/uk-2002,18520486,149039,    15.068,    15.098,    15.082,100,128,    66.000,9545229,   273.852,   124.031,8,9520000,25229,18519040,148946
input/asia,11950757,95360,     0.492,     0.495,     0.493,100,128,     2.000,240251,     4.141,     4.156,8,189120,12,11014530,93705
input/G3,1585478,12697,     0.340,     0.343,     0.342,100,128,     3.000,49345,   124.484,     5.094,8,47322,616,1237803,10539
input/kkt,2063494,16605,     1.600,     1.608,     1.605,100,128,     6.000,114851,   196.688,    18.516,8,93508,6820,1950323,12959
input/cage15,5154859,41482,     9.406,     9.426,     9.418,100,128,    34.000,1435555,  1357.195,    37.312,8,602278,67195,5110871,41066
input/nlpkkt240,27993600,225271,    11.562,    11.573,    11.567,100,128,    27.000,6082317,  3256.828,    10.750,8,5714858,222010,24435823,7922
input/ecology1,1000000,7850,     0.216,     0.219,     0.217,100,128,     4.000,31400,    70.234,     5.312,8,30846,414,734402,281
input/asia,11950757,95360,     0.493,     0.494,     0.493,100,128,     2.000,240251,     4.141,     4.156,8,189120,12,11014530,93705
input/G3,1585478,12697,     0.334,     0.337,     0.336,100,128,     3.000,49345,   124.484,     5.094,8,47322,616,1237803,10539
input/NLR,4163763,33402,     0.716,     0.719,     0.718,100,128,     6.000,200418,   127.773,     5.406,8,193582,1488,3383592,33394
input/NLR,4163763,33402,     0.740,     0.742,     0.741,100,128,     6.000,200418,   127.773,     5.406,8,193582,1488,3383592,33394
input/coPapersDBLP,540486,4349,     5.095,     5.104,     5.100,100,128,   128.000,543489,    85.578,   126.875,8,188288,28750,540472,4346
input/coPapersDBLP,540486,4349,     5.096,     5.105,     5.100,100,128,   128.000,543489,    85.578,   126.875,8,188288,28750,540472,4346
input/coPapersCiteseer,434102,3493,     3.129,     3.136,     3.133,100,128,   260.000,908341,    36.453,   122.328,8,262434,28816,433661,3490
input/nlpkkt160,8345600,67159,     4.635,     4.641,     4.638,100,128,    27.000,1813293,  1503.312,    10.469,8,1589682,73572,7500388,3758
input/uk-2002,18520486,149039,    14.967,    14.997,    14.981,100,128,    66.000,9545229,   273.852,   124.031,8,9520000,25229,18519040,148946
input/kkt,2063494,16605,     1.700,     1.709,     1.706,100,128,     6.000,114851,   196.688,    18.516,8,93508,6820,1950323,12959
input/ecology1,1000000,7850,     0.208,     0.213,     0.211,100,128,     4.000,31400,    70.234,     5.312,8,30846,414,734402,281
input/G3,1585478,12697,     0.341,     0.343,     0.342,100,128,     3.000,49345,   124.484,     5.094,8,47322,616,1237803,10539
input/NLR,4163763,33402,     0.746,     0.749,     0.748,100,128,     6.000,200418,   127.773,     5.406,8,193582,1488,3383592,33394
input/asia,11950757,95360,     0.492,     0.496,     0.494,100,128,     2.000,240251,     4.141,     4.156,8,189120,12,11014530,93705
input/coPapersCiteseer,434102,3493,     3.137,     3.142,     3.140,100,128,   260.000,908341,    36.453,   122.328,8,262434,28816,433661,3490
input/cage15,5154859,41482,     9.550,     9.572,     9.561,100,128,    34.000,1435555,  1357.195,    37.312,8,602278,67195,5110871,41066
input/nlpkkt160,8345600,67159,     4.672,     4.679,     4.676,100,128,    27.000,1813293,  1503.312,    10.469,8,1589682,73572,7500388,3758
input/uk-2002,18520486,149039,    15.071,    15.100,    15.085,100,128,    66.000,9545229,   273.852,   124.031,8,9520000,25229,18519040,148946
input/nlpkkt240,27993600,225271,    15.368,    15.377,    15.373,100,128,    27.000,6082317,  3256.828,    10.750,8,5714858,222010,24435823,7922
input/coPapersDBLP,540486,4349,     5.038,     5.046,     5.042,100,128,   128.000,543489,    85.578,   126.875,8,188288,28750,540472,4346
input/coPapersCiteseer,434102,3493,     3.130,     3.136,     3.134,100,128,   260.000,908341,    36.453,   122.328,8,262434,28816,433661,3490
